full_text,clean_text,sentimen_pred,emosi_dominan,skor_emosi_dominan,bukti_emosi_dominan,metode_pemilihan_emosi,emosi_terdeteksi,jumlah_emosi_terdeteksi,matched_terms_nrc,raw_Marah,raw_Takut,raw_Senang,raw_Percaya,weighted_Marah,weighted_Takut,weighted_Senang,weighted_Percaya
"Presiden Prabowo Subianto merasakan ada pihak yang menjelek-jelekkan program Makan Bergizi Gratis (MBG) sebagai program yang menghambur-hamburkan uang. 

“Mereka meramalkan proyek ini pasti gagal, program ini menghambur-hamburkan uang,” kata Prabowo di Palmerah, Jakarta Barat, https://t.co/ApgmK5CiiZ",presiden prabowo subianto rasa jelek jelek program makan gizi gratis mbg program hambur hambur uang ramal proyek gagal program hambur hambur uang prabowo palmerah jakarta barat,negatif,Percaya,2.5,"makan, ramal, pasti",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'jelek', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 7}, {'term': 'jelek', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 8}, {'term': 'makan', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 10}, {'term': 'ramal', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 21}, {'term': 'pasti', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 24}, {'term': 'gagal', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 25}]",3,3,1,3,1.5,1.5,0.5,2.5
"@kompascom Lah beneran menghamburkan uang, banyak yang gak mau makan makanan MBG, sampai-sampai dibuat pakan ternak https://t.co/w14TrnKKz1",beneran hambur uang tidak makan makan mbg pakan ternak,negatif,Percaya,2.0,"makan, buat",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'tidak mau', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'makan', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 8}, {'term': 'makan', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 9}, {'term': 'buat', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 13}, {'term': 'pakan', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 14}]",2,1,2,3,1.5,0.5,1.0,2.0
"@kompascom Perhatikan narasinya, begitu ada kritik bukannya dirangkul, tapi langsung segregasi, ""mereka"", alias didepak dari kelompok rakyat nya. Lalu perhatikan diksi yang dipakai, ""menjelekkan"", seakan tabu bagi masyarakat untuk mengkritisi program pemimpinnya. 

Belum lagi ditambah",perhati narasi kritik rangkul segregasi alias depak kelompok rakyat perhati diksi pakai jelek akan tabu masyarakat kritisi program pimpin belum tambah,negatif,Percaya,4.0,"rangkul, langsung, pakai, bagi, pimpin",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'kritik', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'rangkul', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'langsung', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 8}, {'term': 'pakai', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 21}, {'term': 'jelek', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 22}, {'term': 'tabu', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 24}, {'term': 'bagi', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 25}, {'term': 'pimpin', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 30}, {'term': 'tambah', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 33}]",3,4,2,5,1.5,2.5,1.0,4.0
"@kompascom Bukan penghematan, tapi PEMOTONGAN jatah anggaran untuk KESEHATAN, PENDIDIKAN, dan HAL LAIN YANG LEBIH BERMANFAAT untuk rakyat.

Sudah mentok kalo bicara sama pria 70 tahunan.
""Kamu anak kecil tahu apa, hah???""",bukan hemat potong jatah anggar sehat didik manfaat rakyat mentok bicara pria tahun anak hah,positif,Senang,3.0,"sehat, didik, lebih, manfaat, sama",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'bukan hemat', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'potong', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 3}, {'term': 'sehat', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 7}, {'term': 'didik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 8}, {'term': 'lebih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 13}, {'term': 'manfaat', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 14}, {'term': 'sama', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 21}, {'term': 'pria', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 22}]",2,3,5,6,0.8333,1.3333,3.0,2.8333
@kompascom Penghematan ndasmu.. https://t.co/GKblZjBwTG,hemat ndasmu,positif,Takut,0.5,hemat,Tie-break karena skor tertimbang seri,"Takut, Percaya",2,"[{'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}]",0,1,0,1,0.0,0.5,0.0,0.5
@kompascom Ndut Lo mau ga dikasih makan kaya gini? Kata anak gue rotinya ga enak. Hal paling ga berguna di menu mbg adalah daun selada. Anak gue bawa pulang daun seladanya katanya mubazir. Oiya gue tetep bekelin anak gue Krn porsi mbg sedikit. Ini kritik bukan jelekin. https://t.co/65cLk45NZ8,ndut tidak kasih makan kaya gin anak roti tidak tidak guna menu mbg daun selada anak bawa pulang daun selada mubazir oiya tetep bekelin anak porsi mbg kritik bukan jelekin,negatif,Marah,2.3333,"tidak, tidak enak, tidak guna, kritik",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'tidak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 3}, {'term': 'kasih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'makan', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}, {'term': 'kaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'tidak enak', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 12}, {'term': 'tidak guna', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 16}, {'term': 'bawa', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 26}, {'term': 'kritik', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 43}]",4,4,3,4,2.3333,2.3333,1.5,1.8333
"@kompascom Kalau baca komen disini semua kok berprasangka buruk bahwa Presiden diakali anak buahnya, presiden goblog, presiden kurang informasi, dll. Marilah berprasangka baik bahwa Presiden kita ini pintar, tahu kondisi actual, dan semua ini terjadi memang SESUAI SEPERTI YG DIA INGINKAN !",baca komen prasangka buruk presiden akal anak buah presiden goblog presiden kurang informasi dll mari prasangka presiden pintar kondisi actual sesuai,positif,Marah,2.0,"prasangka, buruk, kurang",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'prasangka', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'buruk', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 7}, {'term': 'kurang', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 16}, {'term': 'prasangka', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 20}, {'term': 'baik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 21}, {'term': 'sesuai', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 35}]",4,4,1,2,2.0,2.0,0.5,1.5
@kompascom Penghematan yang dimaksud: https://t.co/tzDiI0XfjQ,hemat,positif,Takut,0.5,hemat,Tie-break karena skor tertimbang seri,"Takut, Percaya",2,"[{'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}]",0,1,0,1,0.0,0.5,0.0,0.5
@kompascom bukan penghematan kalau harus mengorbankan pendidikan dan kesehatan,bukan hemat korban didik sehat,negatif,Percaya,1.5,"bukan hemat, didik, sehat",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'bukan hemat', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'korban', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'didik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}, {'term': 'sehat', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 7}]",1,2,2,3,0.5,1.0,1.0,1.5
"@kompascom hasil penghematan? agak keluar konteks tp...
di 1 sektor deh, coba supervisi atau nanya ke rescuer BASARNAS, atau tim reaksi cepat BPBD gimana rasanya anggaran taunan dipotong dan ga bisa maintenance alat di mana negeri ini rawan bencana, tiap bulan ada kejadian?",hasil hemat konteks sektor coba supervisi nanya rescuer basarnas tim reaksi cepat bpbd anggar taun potong tidak maintenance alat negeri rawan bencana jadi,negatif,Takut,3.8333,"hemat, keluar, coba, reaksi, potong, tidak bisa, bencana",Skor tertimbang tertinggi,"Marah, Takut, Senang, Percaya",4,"[{'term': 'hasil', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 1}, {'term': 'keluar', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 3}, {'term': 'coba', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 8}, {'term': 'tim', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 16}, {'term': 'reaksi', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 17}, {'term': 'cepat', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 18}, {'term': 'potong', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 24}, {'term': 'tidak bisa', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 26}, {'term': 'bencana', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 35}]",5,7,2,4,2.3333,3.8333,1.5,2.3333
