full_text,clean_text,sentimen_pred,emosi_dominan,skor_emosi_dominan,bukti_emosi_dominan,metode_pemilihan_emosi,emosi_terdeteksi,jumlah_emosi_terdeteksi,matched_terms_nrc,raw_Marah,raw_Takut,raw_Senang,raw_Percaya,weighted_Marah,weighted_Takut,weighted_Senang,weighted_Percaya
@kompascom Penghematan ndasmu.. https://t.co/GKblZjBwTG,hemat ndasmu,positif,Takut,0.5,hemat,Tie-break karena skor tertimbang seri,"Takut, Percaya",2,"[{'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}]",0,1,0,1,0.0,0.5,0.0,0.5
@kompascom Ndut Lo mau ga dikasih makan kaya gini? Kata anak gue rotinya ga enak. Hal paling ga berguna di menu mbg adalah daun selada. Anak gue bawa pulang daun seladanya katanya mubazir. Oiya gue tetep bekelin anak gue Krn porsi mbg sedikit. Ini kritik bukan jelekin. https://t.co/65cLk45NZ8,ndut tidak kasih makan kaya gin anak roti tidak tidak guna menu mbg daun selada anak bawa pulang daun selada mubazir oiya tetep bekelin anak porsi mbg kritik bukan jelekin,negatif,Marah,2.3333,"tidak, tidak enak, tidak guna, kritik",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'tidak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 3}, {'term': 'kasih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'makan', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}, {'term': 'kaya', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'tidak enak', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 12}, {'term': 'tidak guna', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger'], 'emosi': 'Marah', 'bobot_per_emosi': 1.0, 'posisi': 16}, {'term': 'bawa', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear'], 'emosi': 'Takut', 'bobot_per_emosi': 1.0, 'posisi': 26}, {'term': 'kritik', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 43}]",4,4,3,4,2.3333,2.3333,1.5,1.8333
"@kompascom Kalau baca komen disini semua kok berprasangka buruk bahwa Presiden diakali anak buahnya, presiden goblog, presiden kurang informasi, dll. Marilah berprasangka baik bahwa Presiden kita ini pintar, tahu kondisi actual, dan semua ini terjadi memang SESUAI SEPERTI YG DIA INGINKAN !",baca komen prasangka buruk presiden akal anak buah presiden goblog presiden kurang informasi dll mari prasangka presiden pintar kondisi actual sesuai,positif,Marah,2.0,"prasangka, buruk, kurang",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'prasangka', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'buruk', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 7}, {'term': 'kurang', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 16}, {'term': 'prasangka', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 20}, {'term': 'baik', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 21}, {'term': 'sesuai', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 35}]",4,4,1,2,2.0,2.0,0.5,1.5
@kompascom Penghematan yang dimaksud: https://t.co/tzDiI0XfjQ,hemat,positif,Takut,0.5,hemat,Tie-break karena skor tertimbang seri,"Takut, Percaya",2,"[{'term': 'hemat', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'trust'], 'emosi': 'Takut, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}]",0,1,0,1,0.0,0.5,0.0,0.5
@kompascom Berharap apa sama orang yang tone deaf nya udah terlampau parah 😮‍💨.,harap tone deaf lampau parah,negatif,Senang,1.0,"harap, sama",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'harap', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 0}, {'term': 'sama', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 2}, {'term': 'parah', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 10}]",1,1,2,2,0.5,0.5,1.0,1.0
@kompascom Cuma pindah tempat korupsinya aja... Cerdas dikit napa pak 😩,pindah korupsi cerdas dikit napa,negatif,Senang,0.5,cerdas,Tie-break karena skor tertimbang seri,"Senang, Percaya",2,"[{'term': 'cerdas', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 5}]",0,0,1,1,0.0,0.0,0.5,0.5
"@kompascom Kesimpulannya : dgn jumlah yg sama, koruptornya dipersempit hingga hanya relawan dan pendukung2nya yg bebas korupsi.",simpul koruptor sempit rawan dukung bebas korupsi,negatif,Senang,1.3333,"sama, dukung, bebas",Tie-break karena skor tertimbang seri,"Marah, Senang, Percaya",3,"[{'term': 'sama', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 4}, {'term': 'dukung', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy', 'trust'], 'emosi': 'Senang, Percaya', 'bobot_per_emosi': 0.5, 'posisi': 11}, {'term': 'bebas', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'joy', 'trust'], 'emosi': 'Marah, Senang, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 14}]",1,0,3,3,0.3333,0.0,1.3333,1.3333
@kompascom HAHHHHHHHH APA SIHHHHHHH 😭😭😭😭😭😭😭😭😭😭😭 istana nyediain psikolog gak sih?,hahhhhhhhh sihhhhhhh istana nyediain psikolog tidak,negatif,Marah,0.3333,tidak,Tie-break karena skor tertimbang seri,"Marah, Takut, Percaya",3,"[{'term': 'tidak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 6}]",1,1,0,1,0.3333,0.3333,0.0,0.3333
"@kompascom MBG, KOPDES MERAH PUTIH, DAN ANTARA... bisa di tambah lagi program apa Sana yg menyerap Dana efisiensi... Belum aja jalan 2 tahun",mbg kopdes merah putih program serap dana efisiensi belum jalan tahun,negatif,Takut,1.5,"bisa, tambah, jalan",Tie-break karena skor tertimbang seri,"Marah, Takut, Senang, Percaya",4,"[{'term': 'putih', 'jenis_match': 'term_nrc', 'emosi_kode': ['joy'], 'emosi': 'Senang', 'bobot_per_emosi': 1.0, 'posisi': 3}, {'term': 'antara', 'jenis_match': 'term_nrc', 'emosi_kode': ['trust'], 'emosi': 'Percaya', 'bobot_per_emosi': 1.0, 'posisi': 5}, {'term': 'bisa', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 6}, {'term': 'tambah', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 8}, {'term': 'jalan', 'jenis_match': 'term_nrc', 'emosi_kode': ['fear', 'joy'], 'emosi': 'Takut, Senang', 'bobot_per_emosi': 0.5, 'posisi': 19}]",2,3,2,1,1.0,1.5,1.5,1.0
"@kompascom program MBG nya ga salah, ga jelek..

yang salah adalah implementasi MBG yang tanpa persiapan dari hulu ke hilir.. rusuh, akhirnya ugal-ugalan &amp; chaos.
bahkan menurut gw ngga mapping dulu sebelum ketok palu",program mbg tidak salah tidak jelek salah implementasi mbg tanpa siap hulu hilir rusuh ugal ugalan amp chaos tidak mapping ketok palu,negatif,Marah,2.0,"tidak salah, tidak jelek, salah, rusuh, tidak",Tie-break karena skor tertimbang seri,"Marah, Takut, Percaya",3,"[{'term': 'tidak salah', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 3}, {'term': 'tidak jelek', 'jenis_match': 'frasa_negasi_manual', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 5}, {'term': 'salah', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 8}, {'term': 'rusuh', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear'], 'emosi': 'Marah, Takut', 'bobot_per_emosi': 0.5, 'posisi': 19}, {'term': 'tidak', 'jenis_match': 'term_nrc', 'emosi_kode': ['anger', 'fear', 'trust'], 'emosi': 'Marah, Takut, Percaya', 'bobot_per_emosi': 0.3333, 'posisi': 28}]",5,5,0,3,2.0,2.0,0.0,1.0
